kanji,liste_de_mots
命,"correspondre,tampon"
念,"coeur,maintenant"
源,"eau,plaine"
願,"plaine,tête"
払,"coude,doigts"
仏,"tintin,coude - privé"
干,sèchoir a linge vu de profil
刊,"sèche,sabre"
岸,"montagne,falaise,sèche"
皆,incomparablement blanc
階,"pinacle,tout"
陛,"pinacle, incomparablement,sol"
羽,plumes(2 ailes d'oiseaux)
習,"plumes,oiseau blanc"
翌,"vase,plumes"
談,"inflammation,mots"
訳,"mots,30.303 cm(flute shakuhachi)"
釈,"trace d'animaux,30.303 cm(flute shakuhachi)"
翻,"tour de role(trace d'animaux+riziere),plumes"
橋,"arbre, ange"
俺,"tintin,grand,singe doté d'une longue queue"
嵐,"montagne,vent"
傲,"tintin,terre,boussole, maitre de corvee"
遜,"route,petits-enfants"
萎,"comité,végétaux"
芯,"végétaux,cœur"
蔽,feuilles découpées
藤,"végétaux,augmentation rapide,irrigation"
挫,"doigt, terre, chaine d'assemblage"
捻,"doigt,désir"
摯,"prendre en main,main"
捗,"doigt,marcher"
嘲,"bouche,matin"
喩,"bouche, assemble de bouchers qui partent en vadrouille"
葛,"fleur, soleil, empaquette, etre humain, crochet"
腫,"corps,lourd"
喉,"bouche, marquis"
旦,"plancher,soleil"
頓,"ver de terre, tete"
骸,"os, gland"
勃,"epine,couronne,terre,enfant"
貌,"blanc,jambes,blaireau"
氾,"eau,empreintes digitales"
丑,"coutelas,plan de travail,sol"
寅,"maison,plafond,pousse,pattes"
卯,saule
辰,"falaise,deux pinces à cheveux"
酉,oiseau
戌,"l'unité,parade"
猪,"meute de chiens,personne"
鯉,"poisson,ordinateur"
或,"bouche,plancher,hallebarde"
旭,"soleil,neuf"
幌,"drap,soleil,lumiere"
蘭,"fleurs,porte coulissante,orient"
伊,"tintin,lave-pont"
杏,"l’arbre,bouche"
栗,"occident,arbre"
烏,oiseau
鳩,"neuf,oiseau"
